Date,Opponent,Home/Road,Period,Time,Situation,G,A1,A2
2013-12-29,CBJ,R,3,10:51,ES,Crosby,Kunitz,Neal
2013-12-29,CBJ,R,3,12:58,PPG,Kunitz,Crosby,Neal
2013-12-29,CBJ,R,3,17:33,PPG,Neal,Vitale,Engelland
2013-12-31,NJD,R,2,6:58,ES,Niskanen,Crosby,Kunitz
2014-01-03,NYR,H,1,13:09,PPG,Kunitz,Crosby,Niskanen
2014-01-03,NYR,H,1,18:40,ES,Jokinen,Gibbons,Vitale
2014-01-03,NYR,H,2,1:09,ES,Jokinen,Gibbons,Sutter
2014-01-03,NYR,H,2,18:29,ES,Crosby,Kunitz,Orpik
2014-01-03,NYR,H,3,12:54,ES,Kunitz,Crosby,Neal
2014-01-05,WPG,H,2,1:06,ES,Malkin,Jokinen,
2014-01-05,WPG,H,2,4:25,PPG,Neal,Letang,Crosby
2014-01-05,WPG,H,2,4:59,ES,Neal,,
2014-01-05,WPG,H,2,11:38,ES,Jokinen,Malkin,Orpik
2014-01-05,WPG,H,3,8:29,ES,Malkin,Neal,
2014-01-05,WPG,H,3,12:38,ES,Niskanen,Maatta,Kunitz
2014-01-07,VAN,R,1,13:15,ES,Gibbons,,
2014-01-07,VAN,R,2,5:25,ES,Malkin,Neal,Maatta
2014-01-07,VAN,R,3,18:49,ES,Letang,Jokinen,Crosby
2014-01-07,VAN,R,3,19:05,ES,Crosby,Kunitz,Jokinen
2014-01-10,EDM,R,2,2:09,ES,Neal,Malkin,
2014-01-10,EDM,R,2,7:55,ES,Crosby,Gibbons,Niskanen
2014-01-10,EDM,R,3,12:16,PPG,Letang,Crosby,
2014-01-11,CGY,R,1,16:34,ES,Kunitz,Bortuzzo,
2014-01-11,CGY,R,2,6:42,ES,Niskanen,Glass,
2014-01-15,WSH,H,2,9:53,ES,Letang,Crosby,Glass
2014-01-15,WSH,H,2,16:08,ES,Pyatt,Maatta,Jokinen
2014-01-15,WSH,H,3,11:35,ES,Jokinen,Sutter,Niskanen
2014-01-15,WSH,H,3,18:06,ES,Maatta,Malkin,Niskanen
2014-01-20,FLA,H,3,5:11,ES,Niskanen,Letang,Malkin
2014-01-22,MTL,H,1,8:48,ES,Jokinen,Malkin,Niskanen
2014-01-22,MTL,H,1,16:25,PPG,Pyatt,Niskanen,Martin
2014-01-22,MTL,H,2,5:46,ES,Jokinen,Maatta,Neal
2014-01-22,MTL,H,2,11:43,PPG,Crosby,Letang,Kunitz
2014-01-22,MTL,H,2,15:03,ES,Malkin,Scuderi,Orpik
2014-01-23,NYI,R,1,9:32,ES,Kunitz,Crosby,Maatta
2014-01-23,NYI,R,1,11:24,ES,Crosby,Kunitz,Niskanen
2014-01-23,NYI,R,2,5:35,ES,Maatta,Kunitz,Niskanen
2014-01-23,NYI,R,2,17:44,PPG,Letang,Crosby,Neal
2014-01-23,NYI,R,3,5:59,ES,Malkin,Neal,
2014-01-23,NYI,R,3,19:56,EN,Sutter,,
2014-01-27,BUF,H,2,5:44,ES,Kunitz,Gibbons,Crosby
2014-01-27,BUF,H,2,12:05,ES,Engelland,Adams,Glass
2014-01-27,BUF,H,3,19:32,EN,Glass,Adams,Crosby
2014-01-30,LAK,R,1,0:57,ES,Malkin,Jokinen,Neal
2014-01-30,LAK,R,1,10:50,PPG,Kunitz,Jokinen,Crosby
2014-01-30,LAK,R,1,11:47,PPG,Jokinen,Malkin,Niskanen
2014-01-30,LAK,R,2,11:44,ES,Glass,Niskanen,Maatta
2014-02-01,PHX,R,2,15:51,ES,Malkin,Neal,Jokinen
2014-02-03,OTT,H,1,16:23,PPG,Gibbons,Maatta,Jokinen
2014-02-03,OTT,H,OT,1:55,ES,Neal,Bortuzzo,Malkin
2014-02-05,BUF,R,1,15:01,ES,Zolnierczyk,Adams,Crosby
2014-02-05,BUF,R,2,2:08,PPG,Crosby,Niskanen,
2014-02-05,BUF,R,2,17:48,ES,Malkin,,
2014-02-05,BUF,R,3,5:22,ES,Gibbons,Sutter,
2014-02-05,BUF,R,3,12:12,ES,Neal,Malkin,Orpik
2014-02-07,NYR,H,1,11:43,PPG,Maatta,Crosby,Jokinen
2014-02-07,NYR,H,2,8:29,PPG,Malkin,Neal,Niskanen
2014-02-07,NYR,H,3,17:04,ES,Neal,Maatta,Megna
2014-02-27,MTL,H,1,8:23,ES,Neal,Malkin,Maatta
2014-02-27,MTL,H,1,15:48,ES,Engelland,Neal,Crosby
2014-02-27,MTL,H,2,10:38,PPG,Maatta,Jokinen,Sutter
2014-02-27,MTL,H,3,7:16,SHG,Sutter,,
